Dove | Medimix Ayurvedic Soap | Medimix
Dove | Margo Neem Soap | Margo
Dove | Chandrika Ayurvedic Soap | Chandrika
Dove | Santoor Sandal Soap | Santoor
Dove | Mysore Sandal Soap | Mysore Sandal

Lux | Medimix Ayurvedic Soap | Medimix
Lux | Chandrika Soap | Chandrika
Lux | Santoor Soap | Santoor
Lux | Hamam Neem Tulsi Soap | Hamam
Lux | Cinthol Lime Soap | Cinthol

Pears | Medimix Glycerin Soap | Medimix
Pears | Chandrika Soap | Chandrika
Pears | Khadi Natural Soap | Khadi
Pears | Vaadi Herbals Soap | Vaadi

Head & Shoulders | Clinic Plus Shampoo | Clinic Plus
Head & Shoulders | Patanjali Kesh Kanti | Patanjali
Head & Shoulders | Himalaya Anti Dandruff Shampoo | Himalaya
Head & Shoulders | Khadi Amla Shampoo | Khadi

Pantene | Biotique Bio Kelp Shampoo | Biotique
Pantene | Khadi Amla Shampoo | Khadi
Pantene | WOW Onion Black Seed Shampoo | WOW
Pantene | Mamaearth Onion Shampoo | Mamaearth

Colgate | Dabur Red Toothpaste | Dabur
Colgate | Vicco Vajradanti | Vicco
Colgate | Meswak Toothpaste | Dabur
Colgate | Patanjali Dant Kanti | Patanjali

Sensodyne | Dabur Sensitive Toothpaste | Dabur
Sensodyne | Vicco Vajradanti | Vicco
Sensodyne | Meswak Sensitive | Dabur

Closeup | Dabur Red Gel | Dabur
Closeup | Vicco Toothpaste | Vicco
Closeup | Babool Toothpaste | Dabur
